ID,Name,Age,City,Score
1,Student1,21.0,Pune,53.0
2,Student2,22.0,Mumbai,56.0
3,Student3,23.0,,59.0
4,,24.0,Delhi,62.0
5,Student5,20.0,Chennai,
6,Student6,,Pune,68.0
7,Student7,22.0,Mumbai,71.0
8,,23.0,,74.0
9,Student9,24.0,Delhi,77.0
10,Student10,20.0,Chennai,
11,Student11,21.0,Pune,83.0
12,,,Mumbai,86.0
13,Student13,23.0,,89.0
14,Student14,24.0,Delhi,52.0
15,Student15,20.0,Chennai,
16,,21.0,Pune,58.0
17,Student17,22.0,Mumbai,61.0
18,Student18,,,64.0
19,Student19,24.0,Delhi,67.0
20,,20.0,Chennai,
