ID,Name,Age,City,Score,Date
1,Student1,21.0,Pune,53.0,
2,Student2,22.0,Mumbai,56.0,2024-01-02
3,Student3,23.0,,59.0,2024-01-03
4,,24.0,Delhi,62.0,
5,Student5,20.0,Chennai,,2024-01-05
6,Student6,,Pune,68.0,2024-01-06
7,Student7,22.0,Mumbai,71.0,
8,,23.0,,74.0,2024-01-08
9,Student9,24.0,Delhi,77.0,2024-01-09
10,Student10,20.0,Chennai,,
11,Student11,21.0,Pune,83.0,2024-01-11
12,,,Mumbai,86.0,2024-01-12
13,Student13,23.0,,89.0,
14,Student14,24.0,Delhi,52.0,2024-01-14
15,Student15,20.0,Chennai,,2024-01-15
16,,21.0,Pune,58.0,
17,Student17,22.0,Mumbai,61.0,2024-01-17
18,Student18,,,64.0,2024-01-18
19,Student19,24.0,Delhi,67.0,
20,,20.0,Chennai,,2024-01-20
