ID,Name,Age,City,Score,Passed
1,Student1,20,Mumbai,37,No
2,Student2,21,Delhi,44,No
3,Student3,22,Bangalore,51,Yes
4,Student4,23,Hyderabad,58,Yes
5,Student5,19,Chennai,65,Yes
6,Student6,20,Pune,72,Yes
7,Student7,21,Mumbai,79,Yes
8,Student8,22,Delhi,86,Yes
9,Student9,23,Bangalore,93,Yes
10,Student10,19,Hyderabad,30,No
11,Student11,20,Chennai,37,No
12,Student12,21,Pune,44,No
13,Student13,22,Mumbai,51,Yes
14,Student14,23,Delhi,58,Yes
15,Student15,19,Bangalore,65,Yes
16,Student16,20,Hyderabad,72,Yes
17,Student17,21,Chennai,79,Yes
18,Student18,22,Pune,86,Yes
19,Student19,23,Mumbai,93,Yes
20,Student20,19,Delhi,30,No
21,Student21,20,Bangalore,37,No
22,Student22,21,Hyderabad,44,No
23,Student23,22,Chennai,51,Yes
24,Student24,23,Pune,58,Yes
25,Student25,19,Mumbai,65,Yes
26,Student26,20,Delhi,72,Yes
27,Student27,21,Bangalore,79,Yes
28,Student28,22,Hyderabad,86,Yes
29,Student29,23,Chennai,93,Yes
30,Student30,19,Pune,30,No
31,Student31,20,Mumbai,37,No
32,Student32,21,Delhi,44,No
33,Student33,22,Bangalore,51,Yes
34,Student34,23,Hyderabad,58,Yes
35,Student35,19,Chennai,65,Yes
36,Student36,20,Pune,72,Yes
37,Student37,21,Mumbai,79,Yes
38,Student38,22,Delhi,86,Yes
39,Student39,23,Bangalore,93,Yes
40,Student40,19,Hyderabad,30,No
41,Student41,20,Chennai,37,No
42,Student42,21,Pune,44,No
43,Student43,22,Mumbai,51,Yes
44,Student44,23,Delhi,58,Yes
45,Student45,19,Bangalore,65,Yes
46,Student46,20,Hyderabad,72,Yes
47,Student47,21,Chennai,79,Yes
48,Student48,22,Pune,86,Yes
49,Student49,23,Mumbai,93,Yes
50,Student50,19,Delhi,30,No
51,Student51,20,Bangalore,37,No
52,Student52,21,Hyderabad,44,No
53,Student53,22,Chennai,51,Yes
54,Student54,23,Pune,58,Yes
55,Student55,19,Mumbai,65,Yes
56,Student56,20,Delhi,72,Yes
57,Student57,21,Bangalore,79,Yes
58,Student58,22,Hyderabad,86,Yes
59,Student59,23,Chennai,93,Yes
60,Student60,19,Pune,30,No
61,Student61,20,Mumbai,37,No
62,Student62,21,Delhi,44,No
63,Student63,22,Bangalore,51,Yes
64,Student64,23,Hyderabad,58,Yes
65,Student65,19,Chennai,65,Yes
66,Student66,20,Pune,72,Yes
67,Student67,21,Mumbai,79,Yes
68,Student68,22,Delhi,86,Yes
69,Student69,23,Bangalore,93,Yes
70,Student70,19,Hyderabad,30,No
71,Student71,20,Chennai,37,No
72,Student72,21,Pune,44,No
73,Student73,22,Mumbai,51,Yes
74,Student74,23,Delhi,58,Yes
75,Student75,19,Bangalore,65,Yes
76,Student76,20,Hyderabad,72,Yes
77,Student77,21,Chennai,79,Yes
78,Student78,22,Pune,86,Yes
79,Student79,23,Mumbai,93,Yes
80,Student80,19,Delhi,30,No
81,Student81,20,Bangalore,37,No
82,Student82,21,Hyderabad,44,No
83,Student83,22,Chennai,51,Yes
84,Student84,23,Pune,58,Yes
85,Student85,19,Mumbai,65,Yes
86,Student86,20,Delhi,72,Yes
87,Student87,21,Bangalore,79,Yes
88,Student88,22,Hyderabad,86,Yes
89,Student89,23,Chennai,93,Yes
90,Student90,19,Pune,30,No
91,Student91,20,Mumbai,37,No
92,Student92,21,Delhi,44,No
93,Student93,22,Bangalore,51,Yes
94,Student94,23,Hyderabad,58,Yes
95,Student95,19,Chennai,65,Yes
96,Student96,20,Pune,72,Yes
97,Student97,21,Mumbai,79,Yes
98,Student98,22,Delhi,86,Yes
99,Student99,23,Bangalore,93,Yes
100,Student100,19,Hyderabad,30,No
